T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,32,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,33,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,34,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,35,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,36,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,37,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,38,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,39,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,40,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,41,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,42,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,43,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,44,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,45,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,46,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,47,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,48,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,49,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,50,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,1,1.0878915095300323
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,2,1.1234889921832742
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,3,1.0812512104138796
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,4,1.1304820631018251
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,5,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,6,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,7,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,8,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,9,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,10,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,11,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,12,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,13,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,14,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,15,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,16,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,17,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,18,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,19,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,20,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,21,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,22,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,23,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,24,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,25,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,26,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,27,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,28,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,29,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,30,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,31,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,32,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,33,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,34,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,35,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,36,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,37,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,38,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,39,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,40,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,41,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,42,1.019787770894732
