T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,27,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,28,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,29,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,30,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,31,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,32,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,33,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,34,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,35,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,36,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,37,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,38,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,39,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,40,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,41,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,42,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,43,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,44,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,45,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,46,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,47,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,48,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,49,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,50,0.1759397137691163
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,1,1.3240400021845113
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,2,1.0155797409042624
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,3,1.0412945227093389
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,4,2.1384619705399683
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,5,2.0816212647139234
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,6,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,7,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,8,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,9,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,10,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,11,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,12,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,13,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,14,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,15,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,16,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,17,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,18,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,19,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,20,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,21,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,22,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,23,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,24,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,25,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,26,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,27,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,28,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,29,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,30,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,31,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,32,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,33,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,34,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,35,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,36,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,37,2.2221345873541329
